prefCode,pop
0,126167000
1,5250000
2,1246000
3,1227000
4,2306000
5,966000
6,1078000
7,1846000
8,2860000
9,1934000
10,1942000
11,7350000
12,6259000
13,13921000
14,9198000
15,2223000
16,1044000
17,1138000
18,768000
19,811000
20,2049000
21,1987000
22,3644000
23,7552000
24,1781000
25,1414000
26,2583000
27,8809000
28,5466000
29,1330000
30,925000
31,556000
32,674000
33,1890000
34,2804000
35,1358000
36,728000
37,956000
38,1339000
39,698000
40,5104000
41,815000
42,1327000
43,1748000
44,1135000
45,1073000
46,1602000
47,1453000
